Date,Expiry,Entry_Spot,ATM_Strike,Premium_Received,Premium_Paid_To_Close,Lot_Size,Expiry_PnL,Regime
2023-03-13,2023-03-16,40700.0,40700,-546.8,-128.7,25,-10452.5,Unknown
2023-03-20,2023-03-23,40300.0,40300,15.15,6.25,25,222.5,Unknown
2023-04-03,2023-04-06,40200.0,40200,65.15,1724.95,25,-41495.0,Trending Up
2023-04-10,2023-04-13,40400.0,40400,65.3,-1268.95,25,33356.25,Trending Up
2023-04-17,2023-04-20,41100.0,41100,898.05,102.35,25,19892.5,Trending Up
2023-04-24,2023-04-27,41400.0,41400,234.9,-122.05,25,8923.75,Trending Up
2023-05-08,2023-05-11,42500.0,42500,-114.15,302.55,25,-10417.5,Sideways
2023-05-15,2023-05-18,42800.0,42800,124.4,165.15,25,-1018.75,Sideways
2023-05-22,2023-05-25,43000.0,43000,-1104.35,-7.75,25,-27415.0,Sideways
2023-05-29,2023-06-01,43300.0,43300,102.3,119.45,25,-428.75,Sideways
2023-06-05,2023-06-08,43550.0,43600,14.7,84.6,25,-1747.5,Unknown
2023-06-12,2023-06-15,43600.0,43600,102.15,518.85,25,-10417.5,Unknown
2023-06-19,2023-06-22,43500.0,43500,956.5,14.55,25,23548.75,Unknown
2023-07-03,2023-07-06,44100.0,44100,120.2,-978.5,15,16480.5,Unknown
2023-07-10,2023-07-13,44500.0,44500,95.6,-393.55,15,7337.25,Unknown
2023-07-17,2023-07-20,44500.0,44500,-354.9,-1655.9,15,19515.0,Unknown
2023-07-24,2023-07-27,45100.0,45100,-139.35,826.3,15,-14484.75,Unknown
2023-07-31,2023-08-03,45300.0,45300,778.85,72.5,15,10595.25,Unknown
2023-08-07,2023-08-10,45100.0,45100,-335.05,-1.0,15,-5010.75,Trending Down
2023-08-14,2023-08-17,44800.0,44800,-2222.55,49.45,15,-34080.0,Trending Down
2023-08-21,2023-08-24,44600.0,44600,1.5,74.85,15,-1100.25,Trending Down
2023-08-28,2023-08-31,44500.0,44500,90.25,-29.9,15,1802.25,Trending Down
2023-09-04,2023-09-07,44400.0,44400,-201.55,86.55,15,-4321.5,Sideways
2023-09-11,2023-09-14,44700.0,44700,43.2,350.85,15,-4614.75,Sideways
2023-09-18,2023-09-21,45200.0,45200,1041.2,86.1,15,14326.5,Sideways
2023-09-25,2023-09-28,45100.0,45100,115.15,-68.25,15,2751.0,Sideways
2023-10-09,2023-10-12,44800.0,44800,-4602.85,299.3,15,-73532.25,Trending Down
2023-10-16,2023-10-19,44700.0,44700,313.3,-0.6,15,4708.5,Trending Down
2023-10-23,2023-10-26,44400.0,44400,-756.3,292.9,15,-15738.0,Trending Down
2023-10-30,2023-11-02,43500.0,43500,120.15,94.85,15,379.5,Trending Down
2023-11-06,2023-11-09,43400.0,43400,292.2,115.95,15,2643.75,Trending Up
2023-11-13,2023-11-16,43500.0,43500,96.1,261.45,15,-2480.25,Trending Up
2023-11-20,2023-11-23,43600.0,43600,231.65,-706.6,15,14073.75,Trending Up
2023-12-04,2023-12-07,44300.0,44300,-746.35,-1402.4,15,9840.75,Trending Up
2023-12-11,2023-12-14,45500.0,45500,576.95,-66.6,15,9653.25,Trending Up
2023-12-18,2023-12-21,46100.0,46100,119.4,-229.2,15,5229.0,Trending Up
2024-01-01,2024-01-04,47100.0,47100,1582.25,637.45,15,14172.0,Unknown
2024-01-08,2024-01-11,47500.0,47500,-818.95,163.5,15,-14736.75,Unknown
2024-01-15,2024-01-18,47200.0,47200,25.05,992.75,15,-14515.5,Unknown
2024-01-29,2024-02-01,46200.0,46200,398.35,106.5,15,4377.75,Unknown
2024-02-05,2024-02-08,46200.0,46200,13.95,-95.4,15,1640.25,Unknown
2024-02-12,2024-02-15,46000.0,46000,333.15,97.2,15,3539.25,Unknown
2024-02-19,2024-02-22,46000.0,46000,840.5,96.8,15,11155.5,Unknown
2024-02-26,2024-02-29,46400.0,46400,100.3,85.6,15,220.5,Unknown
2024-03-04,2024-03-07,46400.0,46400,90.2,86.15,15,60.75,Sideways
2024-03-11,2024-03-14,46900.0,46900,1546.6,51.6,15,22425.0,Sideways
2024-03-18,2024-03-21,46800.0,46800,88.95,552.75,15,-6957.0,Sideways
2024-04-01,2024-04-04,46800.0,46800,469.05,159.95,15,4636.5,Trending Up
2024-04-15,2024-04-18,47800.0,47800,-2951.45,180.55,15,-46980.0,Trending Up
2024-04-22,2024-04-25,47600.0,47600,98.65,812.6,15,-10709.25,Trending Up
2024-04-29,2024-05-02,47900.0,47900,803.6,164.3,15,9589.5,Trending Up
2024-05-06,2024-05-09,48300.0,48300,324.6,116.15,15,3126.75,Unknown
2024-05-13,2024-05-16,48100.0,48100,347.4,-248.5,15,8938.5,Unknown
2024-05-27,2024-05-30,48200.0,48200,243.75,-321.0,15,8471.25,Unknown
2024-06-03,2024-06-06,48800.0,48800,187.75,-766.0,15,14306.25,Unknown
2024-06-10,2024-06-13,49000.0,49000,94.45,94.25,15,3.0,Unknown
2024-06-24,2024-06-27,50000.0,50000,-58.3,91.9,15,-2253.0,Unknown
2024-07-01,2024-07-04,51000.0,51000,136.35,66.35,15,1050.0,Sideways
2024-07-08,2024-07-11,51400.0,51400,-336.45,-1208.6,15,13082.25,Sideways
2024-07-15,2024-07-18,51600.0,51600,-42.75,183.5,15,-3393.75,Sideways
2024-07-22,2024-07-25,51700.0,51700,510.45,121.45,15,5835.0,Sideways
2024-07-29,2024-08-01,51200.0,51200,937.65,97.35,15,12604.5,Sideways
2024-08-05,2024-08-08,51300.0,51300,137.3,-24.0,15,2419.5,Sideways
2024-08-19,2024-08-22,50500.0,50500,75.65,105.25,15,-444.0,Sideways
